Region,OSPC Flavor ID,OSPC Flavor Name,OSPC CPU,OSPC Memory,OSPC Disk (GiB),FLEX Flavor ID,FLEX Flavor Name,FLEX CPU,FLEX Memory,FLEX Disk (GiB),FLEX Internal Network Bandwidth,CPU Capacity Index,Memory Capacity Index,Disk Capacity Index,Performance Note
DFW,general1-1,1 GB General Purpose v1,1,1 GiB,20,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2,2.00 GiB,40,1,200%,200%,200.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
DFW,general1-2,2 GB General Purpose v1,2,2 GiB,40,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2,2.00 GiB,40,1,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
DFW,compute1-4,3.75 GB Compute v1,2,3.75 GiB,0,b5ccd490-b138-4d81-b8c3-c074287708e8,gp.5.2.4,2,4.00 GiB,40,2,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
DFW,general1-4,4 GB General Purpose v1,4,4 GiB,80,1ba37c74-34c1-47f8-965b-c5005c3825d2,gp.5.4.4,4,4.00 GiB,80,2,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
DFW,compute1-8,7.5 GB Compute v1,4,7.5 GiB,0,c2e4f7c5-26ef-49ca-a121-97e0193304c1,gp.5.4.8,4,8.00 GiB,80,3,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
DFW,compute1-30,30 GB Compute v1,16,30 GiB,0,813056ca-3e63-4db4-9833-64a8019688e5,gp.5.16.64,16,64.00 GiB,240,7,100%,213%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
