Region,OSPC Flavor ID,OSPC Flavor Name,OSPC CPU,OSPC Memory,OSPC Disk (GiB),OSPC Hourly,OSPC Monthly,FLEX Flavor ID,FLEX Flavor Name,FLEX CPU,FLEX Memory,FLEX Disk (GiB),FLEX Hourly,FLEX Monthly,Monthly Savings,Savings %,Pricing Note
DFW,general1-1,1 GB General Purpose v1,1,1 GiB,20,$0.096,$68.80,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2,2.00 GiB,40,$0.039,$28.08,$40.72,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
DFW,general1-2,2 GB General Purpose v1,2,2 GiB,40,$0.108,$77.62,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2,2.00 GiB,40,$0.039,$28.08,$49.54,63.8%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
DFW,compute1-4,3.75 GB Compute v1,2,3.75 GiB,0,$0.120,$86.44,b5ccd490-b138-4d81-b8c3-c074287708e8,gp.5.2.4,2,4.00 GiB,40,$0.049,$35.28,$51.16,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
DFW,general1-4,4 GB General Purpose v1,4,4 GiB,80,$0.211,$151.70,1ba37c74-34c1-47f8-965b-c5005c3825d2,gp.5.4.4,4,4.00 GiB,80,$0.086,$61.92,$89.78,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
DFW,compute1-8,7.5 GB Compute v1,4,7.5 GiB,0,$0.260,$186.98,c2e4f7c5-26ef-49ca-a121-97e0193304c1,gp.5.4.8,4,8.00 GiB,80,$0.106,$76.32,$110.66,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
DFW,compute1-30,30 GB Compute v1,16,30 GiB,0,$0.278,$200.00,813056ca-3e63-4db4-9833-64a8019688e5,gp.5.16.64,16,64.00 GiB,240,$0.553,$398.16,$-198.16,-99.1%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
