Region,OSPC Flavor ID,OSPC Flavor Name,OSPC CPU,OSPC Memory,OSPC Disk (GiB),OSPC Hourly,OSPC Monthly,FLEX Flavor ID,FLEX Flavor Name,FLEX CPU,FLEX Memory,FLEX Disk (GiB),FLEX Hourly,FLEX Monthly,Monthly Savings,Savings %,Pricing Note
SJC,general1-1,1 GB General Purpose v1,1,1 GiB,20,$0.096,$68.80,204d0927-a294-4a37-8fd5-9b2a8c5e294e,gp.0.2.2,2,2.00 GiB,40,$0.039,$28.08,$40.72,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
SJC,general1-2,2 GB General Purpose v1,2,2 GiB,40,$0.108,$77.62,204d0927-a294-4a37-8fd5-9b2a8c5e294e,gp.0.2.2,2,2.00 GiB,40,$0.039,$28.08,$49.54,63.8%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
SJC,compute1-4,3.75 GB Compute v1,2,3.75 GiB,0,$0.120,$86.44,3a444cab-ad32-4e17-8f39-7cbf722a3c8c,gp.0.2.4,2,4.00 GiB,40,$0.049,$35.28,$51.16,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
SJC,general1-4,4 GB General Purpose v1,4,4 GiB,80,$0.211,$151.70,eb4c139d-1d49-4f94-8c12-9492a841a32c,gp.0.4.4,4,4.00 GiB,80,$0.086,$61.92,$89.78,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
SJC,compute1-8,7.5 GB Compute v1,4,7.5 GiB,0,$0.260,$186.98,f5c14236-5681-4bac-9ed6-6e28c7854240,gp.0.4.8,4,8.00 GiB,80,$0.106,$76.32,$110.66,59.2%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
SJC,compute1-30,30 GB Compute v1,16,30 GiB,0,$0.278,$200.00,07da65c7-9117-450d-a9a4-a4e05c08c5bc,gp.0.16.64,16,64.00 GiB,240,$0.553,$398.16,$-198.16,-99.1%,Inferred from TCO_Comparison_Report.csv aligned with uploads/tco_flavormap_1780381947_1342314_flavormap.csv
