Region,OSPC Flavor ID,OSPC Flavor Name,OSPC CPU,OSPC Memory,OSPC Disk (GiB),FLEX Flavor ID,FLEX Flavor Name,FLEX CPU,FLEX Memory,FLEX Disk (GiB),FLEX Internal Network Bandwidth,CPU Capacity Index,Memory Capacity Index,Disk Capacity Index,Performance Note
SJC,general1-1,1 GB General Purpose v1,1,1 GiB,20,204d0927-a294-4a37-8fd5-9b2a8c5e294e,gp.0.2.2,2,2.00 GiB,40,1,200%,200%,200.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
SJC,general1-2,2 GB General Purpose v1,2,2 GiB,40,204d0927-a294-4a37-8fd5-9b2a8c5e294e,gp.0.2.2,2,2.00 GiB,40,1,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
SJC,compute1-4,3.75 GB Compute v1,2,3.75 GiB,0,3a444cab-ad32-4e17-8f39-7cbf722a3c8c,gp.0.2.4,2,4.00 GiB,40,2,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
SJC,general1-4,4 GB General Purpose v1,4,4 GiB,80,eb4c139d-1d49-4f94-8c12-9492a841a32c,gp.0.4.4,4,4.00 GiB,80,2,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
SJC,compute1-8,7.5 GB Compute v1,4,7.5 GiB,0,f5c14236-5681-4bac-9ed6-6e28c7854240,gp.0.4.8,4,8.00 GiB,80,3,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
SJC,compute1-30,30 GB Compute v1,16,30 GiB,0,07da65c7-9117-450d-a9a4-a4e05c08c5bc,gp.0.16.64,16,64.00 GiB,240,7,100%,213%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
