Region,OSPC Flavor ID,OSPC Flavor Name,OSPC CPU,OSPC Memory,OSPC Disk (GiB),FLEX Flavor ID,FLEX Flavor Name,FLEX CPU,FLEX Memory,FLEX Disk (GiB),FLEX Internal Network Bandwidth,CPU Capacity Index,Memory Capacity Index,Disk Capacity Index,Performance Note
IAD,general1-1,1 GB General Purpose v1,1,1 GiB,20,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2,2.00 GiB,40,1,200%,200%,200.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
IAD,general1-2,2 GB General Purpose v1,2,2 GiB,40,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2,2.00 GiB,40,1,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
IAD,compute1-4,3.75 GB Compute v1,2,3.75 GiB,0,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,2,4.00 GiB,40,2,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
IAD,general1-4,4 GB General Purpose v1,4,4 GiB,80,3a805405-352f-4f5b-97e3-6d9fd178df38,gp.0.4.4,4,4.00 GiB,80,2,100%,100%,100.0%,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
IAD,compute1-8,7.5 GB Compute v1,4,7.5 GiB,0,57e73c80-1639-4689-b569-e6c4bc114963,gp.0.4.8,4,8.00 GiB,80,3,100%,107%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
IAD,compute1-30,30 GB Compute v1,16,30 GiB,0,46e9323b-82b0-463c-ba89-57f8f4ddf1b7,gp.0.16.64,16,64.00 GiB,240,7,100%,213%,N/A,Compares matched FLEX flavor capacity against source OSPC flavor; FLEX also exposes regional bandwidth metadata.
