start_fresh,asset_type,snapshot_name,snapshot_id,source_vm_name,os_distro,size_gb,disk_format,status,migratable,licensed,migration_method,reason,created_at
"true","glance_image","u24-postgresl-snap-20260407135336","138cfe49-166f-4e80-8646-7c925aa61e64","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407135908","6088d37d-a188-4fd2-ae3d-30f6cb3a3e7b","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407141745","44881ac3-4a16-4f86-8431-0d95d73e9e82","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407142728","703ec306-6063-4f8c-ba9c-f6b9d25f5baa","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407143132","f224f82b-6aae-4310-a044-60b774d2e9d1","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407144128","03484957-ae38-4377-9c18-cb8e52d68371","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260407144735","9c46d092-4f1b-4688-93d4-4a6c1a139576","","ubuntu","1.63","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24-postgresl-snap-20260408215120","762d12bd-c490-4d4c-9c56-449f61d89f28","","ubuntu","36.17","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24-postgresl-snap-20260408224606","9b97c10c-b1ee-41cf-8714-9461d24177c9","","ubuntu","36.16","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24-postgresl-snap-20260409015446","edf60418-0d33-4ae6-9995-cee17f7a8654","","ubuntu","36.16","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24-postgresl-snap-20260409102534","cc75a222-801a-4c91-a099-b13c22246db1","","ubuntu","36.16","vhd","active","true","false","glance-export","downloadable saved image","2026-04-09"
"true","glance_image","u24Backend-snap-20260407132052","cbe31602-4044-49cd-862a-5b9de5d3b860","","ubuntu","2.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260407135344","851824c4-8c31-4508-97c5-470541f5babb","","ubuntu","2.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260407135908","ae9e2ec4-5ba8-4fd4-800c-c106c6964ec4","","ubuntu","2.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260407144126","763531b9-5026-4d24-9ff4-fe3cd522d620","","ubuntu","2.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260407144732","d6ca9c7e-dd15-45c7-8057-07b27257dda4","","ubuntu","2.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260408013329","33a20140-1aa5-4f39-8b86-ae3ce32ccc2c","","ubuntu","12.36","vhd","active","true","false","glance-export","downloadable saved image","2026-04-07"
"true","glance_image","u24Backend-snap-20260408214936","c79efc38-6e3c-4aee-9bb2-a18a6d03fbab","","ubuntu","36.13","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24Backend-snap-20260408224606","4adb48f9-2257-47a4-b344-59d30d76c29b","","ubuntu","36.13","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24Backend-snap-20260409015739","56ecaad1-1cb7-4a9c-bec8-9877e0ba7733","","ubuntu","36.13","vhd","active","true","false","glance-export","downloadable saved image","2026-04-08"
"true","glance_image","u24Backend-snap-20260409104712","bb8273e3-b00f-4536-aec1-e4f445e1a6d3","","ubuntu","36.13","vhd","active","true","false","glance-export","downloadable saved image","2026-04-09"
