collected_at,service_type,region,name,resource_id,status,created,updated,public_ips,private_ips,flavor_id,image_id,image_name,image_os_distro,image_os_version,image_os_type,image_release_id,image_lookup_error,image_schedule,hypervisor_id,size_gb,attachments,protocol,node_count,datastore_type,datastore_version,backup_schedule_enabled,ha_group_id,email_address,backup_container,is_encrypted,datacenter,details_json,cidr,gateway_ip,network_id,object_count,bytes_used,cdn_enabled,stack_status_reason
2026-06-30T10:39:00.962172Z,block_storage_volume,iad,tmp-osflex-vol-snap-5e63a266-20260516-072901,32e6b32b-1608-460d-a7ff-4bb17617869b,in-use,,,,,,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),org.debian,12,linux,debian_12_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""bb96821c-22bd-47b3-abaa-74cbf6ff5043"", ""host_name"": null, ""volume_id"": ""32e6b32b-1608-460d-a7ff-4bb17617869b"", ""device"": ""/dev/xvdr"", ""id"": ""32e6b32b-1608-460d-a7ff-4bb17617869b""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962178Z,block_storage_volume,iad,tmp-osflex-vol-snap-5e63a266-20260516-071639,2cbc4605-8a12-49f4-98b1-43b42998e5de,in-use,,,,,,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),org.debian,12,linux,debian_12_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""66a7d8bb-7cee-46ac-ad9f-41508a08a1b1"", ""host_name"": null, ""volume_id"": ""2cbc4605-8a12-49f4-98b1-43b42998e5de"", ""device"": ""/dev/xvdq"", ""id"": ""2cbc4605-8a12-49f4-98b1-43b42998e5de""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962184Z,block_storage_volume,iad,tmp-osflex-vol-snap-5e63a266-20260516-071030,6db585c1-2d60-452b-9854-df41aa48bec5,in-use,,,,,,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),org.debian,12,linux,debian_12_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""febdaa7b-6185-436d-a5bf-5573bb6a4e31"", ""host_name"": null, ""volume_id"": ""6db585c1-2d60-452b-9854-df41aa48bec5"", ""device"": ""/dev/xvdp"", ""id"": ""6db585c1-2d60-452b-9854-df41aa48bec5""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962190Z,block_storage_volume,iad,vol-snap-3fc959b2-volsnap-20260516-041356,5c9bff53-ab0a-4f8b-9fe5-a34320f2ae87,in-use,,,,,,d36d82bb-4ef4-41df-9cd0-1319ccd57596,Rocky 8 (PVHVM),org.rockylinux,8,linux,rocky_8_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""62e222de-ee30-4ecf-9c8d-062b52136389"", ""host_name"": null, ""volume_id"": ""5c9bff53-ab0a-4f8b-9fe5-a34320f2ae87"", ""device"": ""/dev/xvdn"", ""id"": ""5c9bff53-ab0a-4f8b-9fe5-a34320f2ae87""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962196Z,block_storage_volume,iad,vol-snap-3fc959b2-volsnap-20260516-034904,1d52777e-b929-4e20-9ce8-430b2a9b7cc8,in-use,,,,,,d36d82bb-4ef4-41df-9cd0-1319ccd57596,Rocky 8 (PVHVM),org.rockylinux,8,linux,rocky_8_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""acd4c37d-df26-44ce-81bd-d545da4417cf"", ""host_name"": null, ""volume_id"": ""1d52777e-b929-4e20-9ce8-430b2a9b7cc8"", ""device"": ""/dev/xvdm"", ""id"": ""1d52777e-b929-4e20-9ce8-430b2a9b7cc8""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962202Z,block_storage_volume,iad,opscwin2016-20260508-093253-snap-202605080933-snapwin-cinder-export-20260516-030339,c1c71f3e-1b3c-437f-a9fd-a37dc55ac1da,in-use,,,,,,a04131d3-f141-4309-886a-2eed8e4a8437,opscwin2016-20260508-093253-snap-202605080933,com.microsoft.server,2016,windows,windows_2016,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""483f0da5-5217-47cf-837d-3ffc42845097"", ""host_name"": null, ""volume_id"": ""c1c71f3e-1b3c-437f-a9fd-a37dc55ac1da"", ""device"": ""/dev/xvdo"", ""id"": ""c1c71f3e-1b3c-437f-a9fd-a37dc55ac1da""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962208Z,block_storage_volume,iad,vol-snap-5e63a266-volsnap-20260516-024620,4e619d35-f103-4261-89c6-fa18764dcf37,in-use,,,,,,c4dc0279-67d9-4272-a4d3-ddfe2eaf4d4c,Debian 12 (Bookworm) (PVHVM),org.debian,12,linux,debian_12_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""0879586a-1205-4efd-8736-6b13b33743b7"", ""host_name"": null, ""volume_id"": ""4e619d35-f103-4261-89c6-fa18764dcf37"", ""device"": ""/dev/xvdk"", ""id"": ""4e619d35-f103-4261-89c6-fa18764dcf37""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962214Z,block_storage_volume,iad,vol-snap-3fc959b2-volsnap-20260516-024620,61c69ae5-9d94-4f8e-bf91-046101c548d4,in-use,,,,,,d36d82bb-4ef4-41df-9cd0-1319ccd57596,Rocky 8 (PVHVM),org.rockylinux,8,linux,rocky_8_pvhvm,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""1c7e5cbc-d4fa-4a31-b7e2-9c6d849d0b24"", ""host_name"": null, ""volume_id"": ""61c69ae5-9d94-4f8e-bf91-046101c548d4"", ""device"": ""/dev/xvdl"", ""id"": ""61c69ae5-9d94-4f8e-bf91-046101c548d4""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962220Z,block_storage_volume,iad,vol-snap-debian10-volsnap-20260516-003319,efb20348-71bb-47af-889c-3137b9ae3578,in-use,,,,,,,,,,,,,,,75,"[{""server_id"": ""467cf940-3b81-43d6-985f-3cbe90ed98e9"", ""attachment_id"": ""5439f3e2-2755-4ca6-bd8b-645cd6f2b480"", ""host_name"": null, ""volume_id"": ""efb20348-71bb-47af-889c-3137b9ae3578"", ""device"": ""/dev/xvdj"", ""id"": ""efb20348-71bb-47af-889c-3137b9ae3578""}]",,,,,,,,,,,,,,,,,,
2026-06-30T10:39:00.962226Z,block_storage_volume,iad,centos7-snap-20260417100802-linsnap-cinder-20260515-191955,ebf3ef6f-8089-42b2-bf5f-4fd1cef5f12c,available,,,,,,8554a31c-7af0-4cef-961f-6dc7e335fe61,centos7-snap-20260417100802,org.centos,7,linux,centos_7_pvhvm_heat,,,,80,[],,,,,,,,,,,,,,,,,,
