source_resource_type,region,target_region,server_name,server_id,include_in_deploy,source_flavor_id,source_flavor_name,source_ram_mb,source_vcpus,source_disk_gb,source_image_name,source_image_os_distro,source_image_os_version,target_flavor_id,target_flavor_name,target_ram_mb,target_vcpus,target_disk_gb,target_hourly_rate_usd,target_daily_cost_min_usd,target_monthly_cost_min_usd,recommended_target_image_name,image_recommendation_note,cloud_init_user_data,boot_volume_source_size_gb,boot_volume_source_device,boot_volume_target_device,needs_floating_ip,floating_network,boot_strategy,boot_from_volume_size_gb,attached_data_volumes_count,conversion_note,alt_1,alt_2,alt_3
cloud_server,iad,DFW,ospc-jumpHost,39e0d438-46cf-47c3-88e6-5a5f84859a84,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,u24-postgresl,d9b51e0a-f7ae-4678-9e18-2971089c6af7,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,u24-FrontEnd,7c7f7240-9973-43b6-9b14-bf4969806e86,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,2,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,php-ospc,b6bbe416-0eac-4aa2-8dd1-89b8e0fbd969,yes,general1-4,4 GB General Purpose v1,4096,4,80,CentOS 7 (PVHVM) (Orchestration),centos,7,1ba37c74-34c1-47f8-965b-c5005c3825d2,gp.5.4.4,4096,4,80,0.0860,2.06,61.92,Rocky Linux 8,centos_to_rocky,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=10.7500,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=10.2500,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=10.4250
cloud_server,iad,DFW,Windows Server 2019Re,d8753e16-0039-4c04-993c-7e14be21e212,yes,general1-2,2 GB General Purpose v1,2048,2,40,Windows Server 2019,,2019,b5ccd490-b138-4d81-b8c3-c074287708e8,gp.5.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2019,windows_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=1.0000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,win2019websql2019,47f882bf-4d6d-41d6-baef-cfcc7a9c5e61,yes,general1-2,2 GB General Purpose v1,2048,2,40,Windows Server 2019 + SQL Server 2019 Web,,2019.0,b5ccd490-b138-4d81-b8c3-c074287708e8,gp.5.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2019 with SQL 2019 Web,windows_sql_web_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=1.0000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,Windows Server 2016 + SQL Server 2019,741c63ea-e4ae-4048-b6cb-fc7b7716034e,yes,general1-2,2 GB General Purpose v1,2048,2,40,Windows Server 2016 + SQL Server 2019 Standard,,2016.0,b5ccd490-b138-4d81-b8c3-c074287708e8,gp.5.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2016,windows_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=1.0000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,u24Backend,6b24fa27-fada-461b-b50a-41cb64e453ab,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
database_instance,iad,DFW,HA percona 8-02,0651b25a-9810-41d2-ac00-d30aae53fcdc,yes,,,,,5,,,,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=percona:8.0,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) note=disk_fit,gp.5.2.4 (b5ccd490-b138-4d81-b8c3-c074287708e8) note=disk_fit,gp.5.1.4 (c85a20aa-30ee-40ba-8724-51f4860acc7d) note=disk_fit
database_instance,iad,DFW,drupal,0e0c1ccf-e8be-4e40-8e04-772307364118,yes,,,,,5,,,,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,db_instance_to_linux_server,,,,,no,,local_boot_use_flavor_disk,,0,db_to_server_conversion;disk_fit;db_size_gb=5;datastore=mysql:5.7,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) note=disk_fit,gp.5.2.4 (b5ccd490-b138-4d81-b8c3-c074287708e8) note=disk_fit,gp.5.1.4 (c85a20aa-30ee-40ba-8724-51f4860acc7d) note=disk_fit
