source_server_id,source_name,resource_type,flex_name,flex_id,flex_private_ip,flex_floating_ip,status
"632e1a39-10fd-45c3-b995-b22aed273108","FlexDFWjumphost","server","FlexDFWjumphost","","","","failed"
"51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6","FlexDFWjumphost","server","FlexDFWjumphost","","","","failed"
