source_resource_type,region,target_region,server_name,target_server_name,server_id,include_in_deploy,source_flavor_id,source_flavor_name,source_ram_mb,source_vcpus,source_disk_gb,source_image_name,source_image_os_distro,source_image_os_version,target_flavor_id,target_flavor_name,target_ram_mb,target_vcpus,target_disk_gb,target_hourly_rate_usd,target_daily_cost_min_usd,target_monthly_cost_min_usd,recommended_target_image_name,image_recommendation_note,cloud_init_user_data,boot_volume_source_size_gb,boot_volume_source_device,boot_volume_target_device,needs_floating_ip,floating_network,boot_strategy,boot_from_volume_size_gb,attached_data_volumes_count,conversion_note,alt_1,alt_2,alt_3
cloud_server,iad,IAD,ospcwin2019,ospcwin2019,09d88d96-901d-4741-9a61-38bfbd466e84,yes,general1-1,1 GB General Purpose v1,1024,1,20,Windows Server 2019,com.microsoft.server,2019,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2019,windows_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,boot_from_volume,50,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=3.8000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=3.2000,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=4.3000
cloud_server,iad,IAD,opscwin2016,opscwin2016,d69037a7-8441-42e2-b349-30628dbd7ecc,yes,general1-2,2 GB General Purpose v1,2048,2,40,Windows Server 2016,,2016,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2016,windows_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=1.4500
cloud_server,iad,IAD,bigjumpwindowsiad,bigjumpwindowsiad,77fbe978-4b0b-43cd-8722-47a495827d49,yes,compute1-30,30 GB Compute v1,30720,16,0,Ubuntu 24.04 LTS (Cloud),com.ubuntu,24.04,46e9323b-82b0-463c-ba89-57f8f4ddf1b7,gp.0.16.64,65536,16,240,0.5530,13.27,398.16,Ubuntu 24.04,ubuntu_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,local_boot_use_flavor_disk,,1,,gp.0.24.96 (48f2fe48-9e1c-47e7-a41e-7bf1027ee933) score=1.3100,gp.0.32.128 (8141be05-c0c1-4ce0-8770-5b3aaf413f84) score=2.1967,gp.0.48.192 (b88dcaf6-a91a-40f2-9a56-cf0ee494e42e) score=4.1700
cloud_server,iad,IAD,test-c7hwfix-iad-1,test-c7hwfix-iad-1,f2110fde-3890-464c-b35c-8ee1dc0bbf24,yes,general1-4,4 GB General Purpose v1,4096,4,80,c7hwfix-20260425,,,3a805405-352f-4f5b-97e3-6d9fd178df38,gp.0.4.4,4096,4,80,0.0860,2.06,61.92,,no_recommendation,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=1.4500,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=10.2500,gp.0.16.64 (46e9323b-82b0-463c-ba89-57f8f4ddf1b7) score=10.3500
cloud_server,iad,IAD,Bigjim-iad,Bigjim-iad,467cf940-3b81-43d6-985f-3cbe90ed98e9,yes,compute1-30,30 GB Compute v1,30720,16,0,Ubuntu 24.04 LTS (Cloud),com.ubuntu,24.04,46e9323b-82b0-463c-ba89-57f8f4ddf1b7,gp.0.16.64,65536,16,240,0.5530,13.27,398.16,Ubuntu 24.04,ubuntu_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,local_boot_use_flavor_disk,,52,,gp.0.24.96 (48f2fe48-9e1c-47e7-a41e-7bf1027ee933) score=1.3100,gp.0.32.128 (8141be05-c0c1-4ce0-8770-5b3aaf413f84) score=2.1967,gp.0.48.192 (b88dcaf6-a91a-40f2-9a56-cf0ee494e42e) score=4.1700
cloud_server,iad,IAD,jenkins,jenkins,107d8faf-4a18-4d50-88c9-f49042843f18,yes,general1-4,4 GB General Purpose v1,4096,4,80,CentOS 7 (PVHVM) (Orchestration),centos,7,3a805405-352f-4f5b-97e3-6d9fd178df38,gp.0.4.4,4096,4,80,0.0860,2.06,61.92,Rocky Linux 8,centos_to_rocky,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=1.4500,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=10.2500,gp.0.16.64 (46e9323b-82b0-463c-ba89-57f8f4ddf1b7) score=10.3500
cloud_server,iad,IAD,centos7,centos7,8daf4f80-47bc-41a6-bbcb-cd5974193b41,yes,compute1-4,3.75 GB Compute v1,3840,2,0,centos7-snap-20260417101921,org.centos,7,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Rocky Linux 8,centos_to_rocky;boot_volume_metadata_fallback,,80,/dev/xvda,/dev/vda,yes,PUBLICNET,boot_from_volume,80,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=0.6233,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.2100,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=0.4233
cloud_server,iad,IAD,win2019,win2019,aaabe292-762c-4847-b249-b181ead4737c,yes,compute1-4,3.75 GB Compute v1,3840,2,0,Windows Server 2019 + SQL Server 2019 Standard,com.microsoft.server,2019.0,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2019,windows_nearest;boot_volume_metadata_fallback,,50,/dev/xvda,/dev/vda,yes,PUBLICNET,boot_from_volume,50,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=0.6233,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.2100,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=0.4233
cloud_server,iad,IAD,windows2016,windows2016,1850f963-95f6-477f-97da-81e5b404694f,yes,general1-2,2 GB General Purpose v1,2048,2,40,Windows Server 2016,,2016,4daf46f4-69f8-4057-9873-9160a93b1b0d,gp.0.2.4,4096,2,40,0.0490,1.18,35.28,Windows Server 2016,windows_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.2.8 (6c13ae13-e9f5-482e-98f4-a2440cd681e8) score=1.4500
cloud_server,iad,IAD,debian11new,debian11new,cd6a356c-62fc-4763-aafc-ca342ec8f923,yes,general1-2,2 GB General Purpose v1,2048,2,40,Debian 11 (Bullseye) (PVHVM),debian,11,5c5f0730-3fe9-4f4c-9c0e-38669d269ca1,gp.0.2.2,2048,2,40,0.0390,0.94,28.08,Debian 11,debian_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.0.4.16 (10be94cd-30c9-4681-bd58-e770d65f8837) score=4.3000,gp.0.2.6 (3097f57b-b793-4af8-8285-f4f1cece6d11) score=0.9000,gp.0.4.4 (3a805405-352f-4f5b-97e3-6d9fd178df38) score=1.0000
