source_resource_type,region,target_region,server_name,target_server_name,server_id,include_in_deploy,source_flavor_id,source_flavor_name,source_ram_mb,source_vcpus,source_disk_gb,source_image_name,source_image_os_distro,source_image_os_version,target_flavor_id,target_flavor_name,target_ram_mb,target_vcpus,target_disk_gb,target_hourly_rate_usd,target_daily_cost_min_usd,target_monthly_cost_min_usd,recommended_target_image_name,image_recommendation_note,cloud_init_user_data,boot_volume_source_size_gb,boot_volume_source_device,boot_volume_target_device,needs_floating_ip,floating_network,boot_strategy,boot_from_volume_size_gb,attached_data_volumes_count,conversion_note,alt_1,alt_2,alt_3
cloud_server,iad,DFW,Server-27,Server-27,a0d77b7e-385e-4768-baa9-29e564a40052,yes,general1-1,1 GB General Purpose v1,1024,1,20,AlmaLinux 9 (PVHVM),alma,9,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,AlmaLinux 9,alma_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.5.2.4 (b5ccd490-b138-4d81-b8c3-c074287708e8) score=2.1000,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=3.8000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=3.2000
cloud_server,iad,DFW,haproxyopsc,haproxyopsc,08c9a1a4-55b9-45e0-8b99-eeb5789c4fe2,yes,general1-4,4 GB General Purpose v1,4096,4,80,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,1ba37c74-34c1-47f8-965b-c5005c3825d2,gp.5.4.4,4096,4,80,0.0860,2.06,61.92,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=10.7500,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=10.2500,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=10.4250
cloud_server,iad,DFW,u24clean,u24clean,de46ca25-136c-4b88-b7a3-40c680962c5c,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,debian12,debian12,59065b63-15b9-4099-b5ea-f5ab005f8b2c,yes,general1-2,2 GB General Purpose v1,2048,2,40,Debian 12 (Bookworm) (PVHVM),debian,12,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Debian 12,debian_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,u24 green server,u24 green server,13b9ba25-fe39-4169-a1fb-437276a07e45,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,2,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,u-22,u-22,dd5476a0-6479-4f56-aefd-8b50db956412,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 22.04 LTS (Jammy Jellyfish) (Cloud),ubuntu,22.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 22.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,Server-21,Server-21,bb29c9d8-1b00-4c6f-852f-d07fe4c8b749,yes,general1-2,2 GB General Purpose v1,2048,2,40,AlmaLinux 9 (PVHVM),alma,9,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,AlmaLinux 9,alma_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,musicradio,musicradio,faa49462-d7ab-475b-9aa6-5d65a16667e8,yes,general1-2,2 GB General Purpose v1,2048,2,40,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,mo.6.2.16 (03acf2b1-631f-40e0-bb94-994d3eca2b58) score=3.7000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=0.9000,gp.5.2.8 (06aba8cf-7181-4d70-be1d-2a46e8c46f22) score=1.4500
cloud_server,iad,DFW,postgresqlU24,postgresqlU24,7beb21aa-2937-43b5-ae77-3d849ba2bd5e,yes,general1-1,1 GB General Purpose v1,1024,1,20,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,1,,gp.5.2.4 (b5ccd490-b138-4d81-b8c3-c074287708e8) score=2.1000,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=3.8000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=3.2000
cloud_server,iad,DFW,mongo db u24,mongo db u24,401890d9-81b8-4a8c-9ede-cfe6f4397eeb,yes,general1-1,1 GB General Purpose v1,1024,1,20,Ubuntu 24.04 LTS (Cloud),ubuntu,24.04,d3a4a3f8-1aa3-4f9e-b08d-9081bb8aea08,gp.5.2.2,2048,2,40,0.0390,0.94,28.08,Ubuntu 24.04,ubuntu_nearest,,,,,yes,PUBLICNET,local_boot_no_source_boot_volume,,0,,gp.5.2.4 (b5ccd490-b138-4d81-b8c3-c074287708e8) score=2.1000,gp.5.4.4 (1ba37c74-34c1-47f8-965b-c5005c3825d2) score=3.8000,gp.5.2.6 (05d771d6-a4c2-48e8-9c28-c7a029cdeb94) score=3.2000
