order,source_server_id,source_vm,source_region,target_region,source_flavor,target_flex_vm,target_flex_flavor,target_image,infra_join_key,vm_clone_join_key,volume_count,lb_member_count,floating_ip,link_step,status,blockers
1,632e1a39-10fd-45c3-b995-b22aed273108,FlexDFWjumphost,iad3,DFW,gp.0.8.32,FlexDFWjumphost,gp.5.8.32,Ubuntu 24.04,632e1a39-10fd-45c3-b995-b22aed273108,632e1a39-10fd-45c3-b995-b22aed273108,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
2,51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6,FlexDFWjumphost,iad3,DFW,gp.0.8.32,FlexDFWjumphost,gp.5.8.32,Ubuntu 24.04,51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6,51a1ed0c-9ca4-4966-aca8-8145f7c3b3b6,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
3,26f81255-643a-41aa-93b5-7d3a3b699fd4,FlexDFWjumphost,iad3,DFW,gp.0.8.32,FlexDFWjumphost,gp.5.8.32,Ubuntu 24.04,26f81255-643a-41aa-93b5-7d3a3b699fd4,26f81255-643a-41aa-93b5-7d3a3b699fd4,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
4,c0fd39c2-1f5c-4834-90e2-3652eda1af70,FlexDFWjumphost,iad3,DFW,gp.0.8.32,FlexDFWjumphost,gp.5.8.32,Ubuntu 24.04,c0fd39c2-1f5c-4834-90e2-3652eda1af70,c0fd39c2-1f5c-4834-90e2-3652eda1af70,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
5,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,iad3,DFW,gp.0.4.4,Windows_Server_2019Re-snap-20260416211842-snapwin-safe-ide-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,Windows Server 2019,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,58d7c38c-a086-4b1a-b43a-9ce058c1c3ae,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
6,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,iad3,DFW,gp.0.4.4,opscwin2016-20260509-150218-snap-202605091502-snapwin-virtio-ready-img-snapwin-safe-ide-img-r3-f2f-DFW3-to-IAD3-snapwin-final-virtio,gp.5.4.4,Windows Server 2016,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,13c18f3e-a792-4eb7-a2bf-92bb00d2adb9,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
7,e2039b99-474c-49c5-9271-469ae7a1fa26,IADjumphostu24,iad3,DFW,gp.0.4.16,IADjumphostu24,gp.5.4.16,Ubuntu 24.04,e2039b99-474c-49c5-9271-469ae7a1fa26,e2039b99-474c-49c5-9271-469ae7a1fa26,0,0,yes,"After infra scaffold exists, boot cloned VM into mapped network/security group, then attach blockmap volumes and LB members.",ready,
